	%GC(all)	%GC(1)	%GC(2)	%GC(3)	COUSIN_18	COUSIN_59	CAI_59	CAI_18
PC 1	-0.3862821685104879	-0.2712966129400699	-0.08032241109339866	-0.40061556440437174	-0.3843209557933612	-0.3908623129066256	-0.3903740594889269	-0.3967012262354218
PC 2	-0.23180116624018002	-0.37720396353323626	-0.8382514607174018	0.0520363082842773	0.12446669933755454	0.15072337201931651	0.21358967619356284	0.12158148114110871
PC 3	0.17894212805371068	0.7519026380404402	-0.49144000950398653	0.04592467332436223	-0.32175151248141864	-0.22125590681356705	-0.03196911409525974	-0.07415890246085241
PC 4	0.39280270651176596	-0.34347033209294375	-0.06023975817990341	0.7131483118667004	-0.19487970101142046	-0.13936994689449236	-0.17538001844619494	-0.3568817601268438
PC 5	0.043932091458039585	-0.0423468311823918	-0.08580597196521476	0.10125311115521825	0.10456546261970814	-0.16861170913780282	-0.7075140789412564	0.662360810702209
PC 6	0.0018743528642570964	-0.1983048458177893	0.13467454843218368	0.05486739350413239	-0.5574321542017143	-0.3861584667928697	0.4802940052411225	0.49899169389563136
PC 7	-0.017735504865632204	-0.018979966886560444	0.020169220777999753	-0.021926364958423632	-0.6112599610731326	0.7606462231521125	-0.19735466878494484	0.08524885734805249
PC 8	0.7800589491787093	-0.24353144859099884	-0.1408332034263728	-0.5588974977310222	0.0001658967954875079	-0.00011112775766333738	1.0657043110456899e-05	-0.00015878081627057616
